total_bill,tip,Gender,smoker,day,time,size,PaymentID
16.99,1.01,Female,No,Sun,Dinner,2,438616059
10.34,1.66,Male,No,Sun,Dinner,3,435521079
21.01,3.5,Male,No,Sun,Dinner,3,432425804
23.68,3.31,Male,No,Sun,Dinner,2,430730025
24.59,3.61,Female,No,Sun,Dinner,4,439957563
25.29,4.71,Male,No,Sun,Dinner,4,430832367
8.77,2,Male,No,Sun,Dinner,2,432653358
26.88,3.12,Male,No,Sun,Dinner,4,439713582
15.04,1.96,Male,No,Sun,Dinner,2,432880148
14.78,3.23,Male,No,Sun,Dinner,2,437860007
10.27,1.71,Male,No,Sun,Dinner,2,432501674
35.26,5,Female,No,Sun,Dinner,4,433273817
15.42,1.57,Male,No,Sun,Dinner,2,431739460
18.43,3,Male,No,Sun,Dinner,4,439839944
14.83,3.02,Female,No,Sun,Dinner,2,432426541
21.58,3.92,Male,No,Sun,Dinner,2,436348584
10.33,1.67,Female,No,Sun,Dinner,3,438722166
16.29,3.71,Male,No,Sun,Dinner,3,431562781
16.97,3.5,Female,No,Sun,Dinner,3,435850552
20.65,3.35,Male,No,Sat,Dinner,3,436310771
17.92,4.08,Male,No,Sat,Dinner,2,436495505
20.29,2.75,Female,No,Sat,Dinner,2,435988955
15.77,2.23,Female,No,Sat,Dinner,2,439765084
39.42,7.58,Male,No,Sat,Dinner,4,431391291
19.82,3.18,Male,No,Sat,Dinner,2,431990170
17.81,2.34,Male,No,Sat,Dinner,4,430724795
13.37,2,Male,No,Sat,Dinner,2,433985138
12.69,2,Male,No,Sat,Dinner,2,437982774
21.7,4.3,Male,No,Sat,Dinner,2,431393328
19.65,3,Female,No,Sat,Dinner,2,437060354
9.55,1.45,Male,No,Sat,Dinner,2,431105787
18.35,2.5,Male,No,Sat,Dinner,4,436497647
15.06,3,Female,No,Sat,Dinner,2,435072910
20.69,2.45,Female,No,Sat,Dinner,4,433914880
17.78,3.27,Male,No,Sat,Dinner,2,431455980
24.06,3.6,Male,No,Sat,Dinner,3,435880280
16.31,2,Male,No,Sat,Dinner,3,438840041
16.93,3.07,Female,No,Sat,Dinner,3,435637648
18.69,2.31,Male,No,Sat,Dinner,3,434845666
31.27,5,Male,No,Sat,Dinner,3,439861971
16.04,2.24,Male,No,Sat,Dinner,3,439681114
17.46,2.54,Male,No,Sun,Dinner,2,434265179
13.94,3.06,Male,No,Sun,Dinner,2,435073927
9.68,1.32,Male,No,Sun,Dinner,2,431908644
30.4,5.6,Male,No,Sun,Dinner,4,433229483
18.29,3,Male,No,Sun,Dinner,2,435021226
22.23,5,Male,No,Sun,Dinner,2,432512755
32.4,6,Male,No,Sun,Dinner,4,438693150
28.55,2.05,Male,No,Sun,Dinner,3,432957981
18.04,3,Male,No,Sun,Dinner,2,434854396
12.54,2.5,Male,No,Sun,Dinner,2,438727418
10.29,2.6,Female,No,Sun,Dinner,2,430554218
34.81,5.2,Female,No,Sun,Dinner,4,435902396
9.94,1.56,Male,No,Sun,Dinner,2,436702618
25.56,4.34,Male,No,Sun,Dinner,4,432931977
19.49,3.51,Male,No,Sun,Dinner,2,437179749
38.01,3,Male,Yes,Sat,Dinner,4,434733536
26.41,1.5,Female,No,Sat,Dinner,2,436864696
11.24,1.76,Male,Yes,Sat,Dinner,2,436465740
48.27,6.73,Male,No,Sat,Dinner,4,437991366
20.29,3.21,Male,Yes,Sat,Dinner,2,431337840
13.81,2,Male,Yes,Sat,Dinner,2,431273508
11.02,1.98,Male,Yes,Sat,Dinner,2,431669758
18.29,3.76,Male,Yes,Sat,Dinner,4,430603073
17.59,2.64,Male,No,Sat,Dinner,3,430576900
20.08,3.15,Male,No,Sat,Dinner,3,432060914
16.45,2.47,Female,No,Sat,Dinner,2,434428319
3.07,1,Female,Yes,Sat,Dinner,1,432671795
20.23,2.01,Male,No,Sat,Dinner,2,433355718
15.01,2.09,Male,Yes,Sat,Dinner,2,439390293
12.02,1.97,Male,No,Sat,Dinner,2,435181859
17.07,3,Female,No,Sat,Dinner,3,436331348
26.86,3.14,Female,Yes,Sat,Dinner,2,430269947
25.28,5,Female,Yes,Sat,Dinner,2,434192326
14.73,2.2,Female,No,Sat,Dinner,2,435439131
10.51,1.25,Male,No,Sat,Dinner,2,438887228
17.92,3.08,Male,Yes,Sat,Dinner,2,430064489
27.2,4,Male,No,Thur,Lunch,4,438551623
22.76,3,Male,No,Thur,Lunch,2,436106454
17.29,2.71,Male,No,Thur,Lunch,2,437809300
19.44,3,Male,Yes,Thur,Lunch,2,433681773
16.66,3.4,Male,No,Thur,Lunch,2,435923896
10.07,1.83,Female,No,Thur,Lunch,1,432013673
32.68,5,Male,Yes,Thur,Lunch,2,433445344
15.98,2.03,Male,No,Thur,Lunch,2,431665444
34.83,5.17,Female,No,Thur,Lunch,4,430076248
13.03,2,Male,No,Thur,Lunch,2,439295264
18.28,4,Male,No,Thur,Lunch,2,434204726
24.71,5.85,Male,No,Thur,Lunch,2,432168612
21.16,3,Male,No,Thur,Lunch,2,432598030
28.97,3,Male,Yes,Fri,Dinner,2,433411668
22.49,3.5,Male,No,Fri,Dinner,2,439313730
5.75,1,Female,Yes,Fri,Dinner,2,433693270
16.32,4.3,Female,Yes,Fri,Dinner,2,438969737
22.75,3.25,Female,No,Fri,Dinner,2,431998634
40.17,4.73,Male,Yes,Fri,Dinner,4,436350500
27.28,4,Male,Yes,Fri,Dinner,2,430100846
12.03,1.5,Male,Yes,Fri,Dinner,2,435491261
21.01,3,Male,Yes,Fri,Dinner,2,434596948
12.46,1.5,Male,No,Fri,Dinner,2,437041984
11.35,2.5,Female,Yes,Fri,Dinner,2,438028407
15.38,3,Female,Yes,Fri,Dinner,2,432928312
44.3,2.5,Female,Yes,Sat,Dinner,3,432765118
22.42,3.48,Female,Yes,Sat,Dinner,2,432541028
20.92,4.08,Female,No,Sat,Dinner,2,433315269
15.36,1.64,Male,Yes,Sat,Dinner,2,432783106
20.49,4.06,Male,Yes,Sat,Dinner,2,438473310
25.21,4.29,Male,Yes,Sat,Dinner,2,437701092
18.24,3.76,Male,No,Sat,Dinner,2,433255307
14.31,4,Female,Yes,Sat,Dinner,2,435558333
14,3,Male,No,Sat,Dinner,2,436776410
7.25,1,Female,No,Sat,Dinner,1,439985664
38.07,4,Male,No,Sun,Dinner,3,432082281
23.95,2.55,Male,No,Sun,Dinner,2,431375013
25.71,4,Female,No,Sun,Dinner,3,436132831
17.31,3.5,Female,No,Sun,Dinner,2,431330909
29.93,5.07,Male,No,Sun,Dinner,4,435879638
10.65,1.5,Female,No,Thur,Lunch,2,430966798
12.43,1.8,Female,No,Thur,Lunch,2,431447435
